No,Question,Keyphrase
1,Nguyên tắc hoạt động giao thông đường bộ được quy định như thế nào?,"- nguyên tắc
- đường bộ"
2,Các hành vi bị nghiêm cấm thực hiện theo Luật giao thông đường bộ năm 2008?,"- hành vi
- nghiêm cấm
- Luật giao thông đường bộ năm 2008"
3,Quy tắc chung khi tham gia giao thông đường bộ được Luật giao thông đường bộ quy định như thế nào?,"- quy tắc
- đường bộ
- Luật giao thông đường bộ"
4,Theo quy định của Luật Giao thông đường bộ thì hệ thống báo hiệu đường bộ gồm những gì? Khi tham gia giao thông phải chấp hành báo hiệu đường bộ như thế nào?,"- Luật giao thông đường bộ
- hệ thống báo hiệu
- gồm
- chấp hành
- báo hiệu đường bộ"
5,Tốc độ và khoảng cách giữa các xe cơ giới khi tham gia giao thông được quy định như thế nào? mức phạt nếu vi phạm của từng loại xe?,"- tốc độ
- khoảng cách 
- xe cơ giới
- mức phạt"
6,Những nguyên tắc cần phải tuân thủ khi muốn vượt xe? Những trường hợp nào không được vượt xe? Vượt xe không đúng quy định của pháp luật sẽ bị xử phạt như thế nào?,"- nguyên tắc
- vượt xe
- trường hợp
- không được vượt xe
- vượt xe
- không đúng quy định
- xử phạt"
7,Chuyển hướng không đúng quy định bị xử phạt như thế nào?,"- chuyển hướng
- không đúng quy định
- xử phạt"
8,Trong thực tế có không ít các vụ tai nạn giao thông nghiêm trọng liên quan đến người điều khiển phương tiện trong quá trình lùi xe gây ra. Vậy người điểu khiển phương tiện khi lùi xe cần phải tuân thủ những quy định nào?,"- tai nạn giao thông
- người điều khiển phương tiện
- lùi xe
- người điều khiển phương tiện
- lùi xe
- quy định"
9,"Khi điều khiển xe đi trên đường, để tránh xe đi ngược chiều tôi phải làm gì để không vi phạm quy định của pháp luật? Nếu vi phạm sẽ bị xử phạt như thế nào?","- tránh xe
- ngược chiều
- vi phạm
- quy định
- xử phạt"
10,Khi tham gia giao thông muốn dừng đỗ xe cần làm gì để đúng quy định? Nếu vi phạm sẽ bị xử phạt như thế nào?,"- dừng đỗ xe
- quy định
- vi phạm
- xử phạt"
11,"Hiện nay một số xe ô tô, mô tô và các loại xe tương tự khác sử dụng còi hơi, còi không đúng thiết kế, bấm còi không đúng nơi quy định gây khiến người đi đường dễ giật mình bởi tiếng còi to chói tai dẫn đến tai nạn giao thông. Vậy chế tài xử phạt cho những hành vi này như thế nào?","- xe ô tô
- mô tô
- các loại xe tương tự
- còi hơi
- không đúng thiết kế
- không đúng nơi quy định
- chế tài
- xử phạt "
12,Hành vi sử dụng điện thoại khi tham gia giao thông bị xử lý như thế nào?,"- sử dụng điện thoại
- xử lý"
13,"Hiện nay, tại một số cổng trường tiểu học, vẫn bắt gặp hình ảnh phụ huynh đưa đón con đi học bằng xe máy, xe đạp điện không đội mũ bảo hiểm cho các cháu. Vậy hành vi này có vi phạm pháp luật và bị xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ hay không?","- xe máy
- xe đạp điện
- không đội mũ bảo hiểm
- vi phạm hành chính
- xử phạt
- giao thông đường bộ"
14,Luật giao thông đường bộ năm 2008 quy định như thế nào về tín hiệu đèn giao thông? Mức xử phạt vi phạm hành chính đối với người điều khiển phương tiện không chấp hành tín hiệu đèn giao thông được quy định như thế nào?,"- Luật giao thông đường bộ năm 2008
- quy định
- tín hiệu đèn giao thông
- mức xử phạt
- vi phạm hành chính
- người điều khiển phương tiện
- không chấp hành
- tín hiệu đèn giao thông"
15,Người đi bộ khi tham giao thông đường bộ phải tuân thủ những quy tắc giao thông nào? Bị xử phạt vi phạm hành chính trong những trường hợp nào và mức phạt là bao nhiêu?,"- người đi bộ
- tuần thủ
- quy tắc giao thông
- xử phạt
- vi phạm hành chính
- trường hợp
- mức phạt"
16,"Anh Nguyễn Văn A có một chiếc xe ô tô, do không may biển số bị rơi mất. Anh A có đến cơ quan Công an để xin làm lại nhưng trong thời gian chờ cấp lại biển số xe Anh A có đi làm biển có số giống như trong Giấy đăng ký để đeo tạm để đi đường và bị CSGT lập biên bản và tạm giữ xe. Vậy mức xử phạt vi phạm hành chính đối với hành vi vi phạm của anh A là bao nhiêu?","- xe ô tô
- biển số 
- rơi mất
- cơ quan Công an
- xin làm lại
- trong thời gian chờ cấp
- làm biển số
- đeo tạm
- xử phạt
- vi phạm hành chính"
17,"Hành vi phóng nhanh lạng lách, đánh võng luôn là nỗi bức xúc và lo lắng cho người đi đường, uy hiếp đến trật tự an toàn giao thông. Vậy mức xử phạt vi phạm hành chính đối với hành vi này được quy định như thế nào?","- phóng nhanh 
- lạng lách
- đánh võng
- mức xử phạt 
- vi phạm hành chính"
18,"Tại khoản 6 Điều 8 Luật giao thông đường bộ năm 2008 quy định nghiêm cấm hành vi đua xe, cổ vụ đua xe, tổ chức đua xe trái phép, lạng lách, đánh võng. Vậy mức xử phạt vi phạm hành chính đối với người đua xe trái phép, người cổ vũ đua xe trái phép được quy định như thế nào?","- khoản 6 điều 8 luật giao thông đường bộ năm 2008 
- nghiêm cấm
- đua xe
- cổ vũ đua xe
- tổ chức đua xe trái phép
- lạng lách
- đánh võng
- vi phạm hành chính
- đua xe trái phép
- người cổ vũ đua xe trái phép "
19,"Hành vi uống rượu, bia khi điều khiển ô tô tham gia giao thông sẽ bị xử phạt vi phạm hành chính như thế nào?","- ô tô
- xử phạt
- vi phạm hành chính"
